Rodada,JogoLocal,JogoData,JogoNumero,JogoTimeA,JogoTimeB,Funcao,Nome,Categoria,Federacao
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Árbitro,Caio Max Augusto Vieira,AB,RN
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Árbitro Assistente 1,Guilherme Dias Camilo,FIFA,MG
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Árbitro Assistente 2,Sidmar dos Santos Meurer,AB,MG
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Quarto Árbitro,Pablo Ramon Goncalves Pinheiro,AB,RN
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Analista de Campo,Roberto Perassi,CBF,SP
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Árbitro de Vídeo,Heber Roberto Lopes,MTR,SC
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Assistente de Árbitro de Vídeo 1,Alessandro Alvaro Rocha de Matos,FIFA,BA
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Assistente de Árbitro de Vídeo 2,Emerson de Almeida Ferreira,AB,MG
1,Morumbi - Sao Paulo - SP,04/27/2019 16:00:00,5,São Paulo - SP,Botafogo - RJ,Observador de VAR,Alicio Pena Junior,CBF,BR
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Árbitro,Rodolpho Toski Marques,FIFA,PR
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Árbitro Assistente 1,Bruno Boschilia,FIFA,PR
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Árbitro Assistente 2,Victor Hugo Imazu dos Santos,AB,PR
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Quarto Árbitro,Savio Pereira Sampaio,AB,DF
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Analista de Campo,Giulliano Bozzano,CBF,MG
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Árbitro de Vídeo,Rodrigo Nunes de Sa,AB,RJ
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Assistente de Árbitro de Vídeo 1,Thiago Duarte Peixoto,AB,SP
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Assistente de Árbitro de Vídeo 2,Ivan Carlos Bohn,AB,PR
1,Independência - Belo Horizonte - MG,04/27/2019 19:00:00,2,Atlético - MG,Avaí - SC,Observador de VAR,Sergio Cristiano Nascimento,CBF,BR
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Internacional - RS,Árbitro,Raphael Claus,FIFA,SP
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Internacional - RS,Árbitro Assistente 1,Marcelo Carvalho Van Gasse,FIFA,SP
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Internacional - RS,Árbitro Assistente 2,Danilo Ricardo Simon Manis,FIFA,SP
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Internacional - RS,Quarto Árbitro,Douglas Marques das Flores,AB,SP
1,Arena Condá - Chapeco - SC,04/27/2019 19:00:00,8,Chapecoense - SC,Internacional - RS,Analista de Campo,Marco Antônio Martins,CBF,SC
